Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1,,,
Sample Interval,0.00192012,,,
Filter Frequency,7e+07,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,0.1,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-4.656e+00,0.432,0.44,0.114,0.134
-4.654e+00,0.44,0.424,0.118,0.094
-4.652e+00,0.44,0.448,0.11,0.138
-4.651e+00,0.44,0.432,0.11,0.094
-4.649e+00,0.448,0.456,0.118,0.138
-4.647e+00,0.448,0.44,0.122,0.098
-4.645e+00,0.456,0.464,0.122,0.142
-4.643e+00,0.456,0.448,0.122,0.102
-4.641e+00,0.456,0.464,0.122,0.142
-4.639e+00,0.456,0.448,0.118,0.102
-4.637e+00,0.464,0.472,0.122,0.142
-4.635e+00,0.464,0.456,0.118,0.102
-4.633e+00,0.472,0.48,0.122,0.146
-4.631e+00,0.464,0.464,0.122,0.106
-4.629e+00,0.472,0.48,0.13,0.146
-4.627e+00,0.472,0.464,0.126,0.11
-4.626e+00,0.48,0.488,0.13,0.15
-4.624e+00,0.48,0.472,0.138,0.106
-4.622e+00,0.48,0.496,0.134,0.154
-4.620e+00,0.488,0.48,0.126,0.11
-4.618e+00,0.496,0.504,0.13,0.154
-4.616e+00,0.496,0.48,0.138,0.114
-4.614e+00,0.496,0.504,0.134,0.154
-4.612e+00,0.496,0.488,0.134,0.114
-4.610e+00,0.504,0.512,0.146,0.158
-4.608e+00,0.504,0.496,0.138,0.118
-4.606e+00,0.504,0.512,0.134,0.162
-4.604e+00,0.504,0.496,0.138,0.122
-4.603e+00,0.504,0.52,0.146,0.162
-4.601e+00,0.512,0.504,0.138,0.122
-4.599e+00,0.52,0.528,0.142,0.166
-4.597e+00,0.512,0.504,0.146,0.122
-4.595e+00,0.52,0.528,0.138,0.166
-4.593e+00,0.52,0.512,0.146,0.126
-4.591e+00,0.528,0.536,0.15,0.166
-4.589e+00,0.528,0.52,0.142,0.126
-4.587e+00,0.536,0.544,0.146,0.17
-4.585e+00,0.528,0.52,0.15,0.13
-4.583e+00,0.536,0.544,0.146,0.17
-4.581e+00,0.536,0.528,0.15,0.13
-4.579e+00,0.544,0.552,0.142,0.17
-4.578e+00,0.544,0.528,0.15,0.134
-4.576e+00,0.544,0.552,0.154,0.178
-4.574e+00,0.552,0.536,0.146,0.134
-4.572e+00,0.552,0.56,0.158,0.178
-4.570e+00,0.552,0.544,0.166,0.138
-4.568e+00,0.552,0.568,0.158,0.178
-4.566e+00,0.56,0.544,0.154,0.138
-4.564e+00,0.56,0.568,0.162,0.182
-4.562e+00,0.56,0.552,0.158,0.138
-4.560e+00,0.56,0.576,0.158,0.182
-4.558e+00,0.568,0.56,0.154,0.142
-4.556e+00,0.568,0.576,0.162,0.182
-4.555e+00,0.576,0.56,0.166,0.142
-4.553e+00,0.576,0.584,0.166,0.182
-4.551e+00,0.576,0.568,0.174,0.146
-4.549e+00,0.576,0.584,0.166,0.19
-4.547e+00,0.584,0.568,0.166,0.146
-4.545e+00,0.584,0.592,0.17,0.19
-4.543e+00,0.584,0.576,0.17,0.146
-4.541e+00,0.584,0.6,0.162,0.19
-4.539e+00,0.592,0.576,0.17,0.15
-4.537e+00,0.592,0.6,0.17,0.19
-4.535e+00,0.592,0.584,0.166,0.15
-4.533e+00,0.592,0.608,0.166,0.194
-4.531e+00,0.6,0.584,0.174,0.154
-4.530e+00,0.6,0.608,0.17,0.194
-4.528e+00,0.6,0.592,0.162,0.154
-4.526e+00,0.608,0.616,0.182,0.198
-4.524e+00,0.608,0.6,0.174,0.154
-4.522e+00,0.608,0.616,0.166,0.198
-4.520e+00,0.608,0.6,0.178,0.158
-4.518e+00,0.608,0.624,0.182,0.198
-4.516e+00,0.608,0.608,0.17,0.158
-4.514e+00,0.616,0.624,0.182,0.202
-4.512e+00,0.616,0.608,0.186,0.162
-4.510e+00,0.616,0.632,0.174,0.206
-4.508e+00,0.624,0.616,0.178,0.162
-4.507e+00,0.624,0.632,0.19,0.202
-4.505e+00,0.624,0.616,0.19,0.162
-4.503e+00,0.632,0.64,0.182,0.206
-4.501e+00,0.624,0.624,0.174,0.162
-4.499e+00,0.632,0.64,0.19,0.206
-4.497e+00,0.632,0.624,0.182,0.166
-4.495e+00,0.632,0.648,0.182,0.21
-4.493e+00,0.632,0.624,0.194,0.166
-4.491e+00,0.64,0.648,0.186,0.214
-4.489e+00,0.64,0.632,0.19,0.166
-4.487e+00,0.64,0.656,0.19,0.21
-4.485e+00,0.64,0.632,0.186,0.166
-4.483e+00,0.64,0.656,0.19,0.214
-4.482e+00,0.648,0.64,0.19,0.17
-4.480e+00,0.648,0.656,0.198,0.214
-4.478e+00,0.648,0.64,0.194,0.174
-4.476e+00,0.656,0.664,0.19,0.214
-4.474e+00,0.656,0.648,0.194,0.174
-4.472e+00,0.656,0.664,0.202,0.218
-4.470e+00,0.656,0.648,0.194,0.174
-4.468e+00,0.664,0.672,0.198,0.218
-4.466e+00,0.664,0.648,0.202,0.178
-4.464e+00,0.664,0.672,0.198,0.218
-4.462e+00,0.664,0.656,0.202,0.178
-4.460e+00,0.664,0.672,0.206,0.218
-4.459e+00,0.664,0.656,0.19,0.178
-4.457e+00,0.672,0.68,0.202,0.222
-4.455e+00,0.672,0.664,0.206,0.178
-4.453e+00,0.672,0.68,0.202,0.226
-4.451e+00,0.672,0.664,0.198,0.178
-4.449e+00,0.672,0.688,0.202,0.222
-4.447e+00,0.68,0.664,0.214,0.182
-4.445e+00,0.68,0.688,0.202,0.226
-4.443e+00,0.68,0.672,0.198,0.182
-4.441e+00,0.68,0.688,0.202,0.226
-4.439e+00,0.68,0.672,0.21,0.186
-4.437e+00,0.688,0.696,0.206,0.226
-4.435e+00,0.688,0.68,0.206,0.186
-4.434e+00,0.688,0.696,0.218,0.23
-4.432e+00,0.688,0.68,0.206,0.186
-4.430e+00,0.688,0.696,0.21,0.23
-4.428e+00,0.688,0.68,0.218,0.19
-4.426e+00,0.696,0.704,0.21,0.23
-4.424e+00,0.688,0.688,0.21,0.19
-4.422e+00,0.696,0.704,0.214,0.234
-4.420e+00,0.696,0.688,0.214,0.19
-4.418e+00,0.696,0.704,0.21,0.234
-4.416e+00,0.696,0.688,0.21,0.19
-4.414e+00,0.696,0.712,0.218,0.234
-4.412e+00,0.704,0.688,0.206,0.194
-4.411e+00,0.704,0.712,0.21,0.234
-4.409e+00,0.704,0.696,0.214,0.194
-4.407e+00,0.704,0.712,0.214,0.234
-4.405e+00,0.704,0.696,0.21,0.194
-4.403e+00,0.712,0.712,0.218,0.238
-4.401e+00,0.712,0.696,0.214,0.194
-4.399e+00,0.704,0.72,0.206,0.238
-4.397e+00,0.704,0.696,0.214,0.194
-4.395e+00,0.712,0.72,0.218,0.238
-4.393e+00,0.712,0.704,0.218,0.198
-4.391e+00,0.712,0.72,0.214,0.242
-4.389e+00,0.712,0.704,0.226,0.198
-4.387e+00,0.712,0.72,0.222,0.242
-4.386e+00,0.72,0.704,0.218,0.198
-4.384e+00,0.72,0.728,0.218,0.242
-4.382e+00,0.72,0.712,0.222,0.198
-4.380e+00,0.72,0.728,0.226,0.242
-4.378e+00,0.72,0.712,0.218,0.202
-4.376e+00,0.72,0.728,0.222,0.242
-4.374e+00,0.72,0.712,0.218,0.198
-4.372e+00,0.72,0.728,0.218,0.246
-4.370e+00,0.728,0.712,0.222,0.202
-4.368e+00,0.72,0.736,0.23,0.246
-4.366e+00,0.72,0.712,0.218,0.202
-4.364e+00,0.72,0.736,0.218,0.246
-4.363e+00,0.72,0.72,0.226,0.202
-4.361e+00,0.728,0.736,0.222,0.246
-4.359e+00,0.728,0.72,0.218,0.202
-4.357e+00,0.728,0.736,0.234,0.25
-4.355e+00,0.728,0.72,0.23,0.202
-4.353e+00,0.728,0.736,0.226,0.25
-4.351e+00,0.728,0.72,0.222,0.206
-4.349e+00,0.728,0.736,0.226,0.25
-4.347e+00,0.736,0.72,0.218,0.206
-4.345e+00,0.728,0.744,0.226,0.25
-4.343e+00,0.728,0.72,0.234,0.206
-4.341e+00,0.728,0.744,0.234,0.25
-4.339e+00,0.736,0.72,0.226,0.206
-4.338e+00,0.736,0.744,0.23,0.25
-4.336e+00,0.728,0.728,0.23,0.206
-4.334e+00,0.736,0.744,0.234,0.25
-4.332e+00,0.736,0.72,0.226,0.206
-4.330e+00,0.736,0.744,0.23,0.25
